name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Rodrigo García,1995,8,Four Rooms,movie,Camera,Director of Photography,77162,2022-09-03 17:01:12,2022-09-03 17:01:12
Jay Nierenberg,1995,8,Four Rooms,movie,Sound,Sound Editor,80824,2022-09-03 17:01:12,2022-09-03 17:01:12
Chuck Jones,1995,8,Four Rooms,movie,Crew,Creative Consultant,100888,2022-09-03 17:01:12,2022-09-03 17:01:12
Ermahn Ospina,1995,8,Four Rooms,movie,Costume & Make-Up,Key Hair Stylist,144146,2022-09-03 17:01:12,2022-09-03 17:01:12
Ziad Doueiri,1995,8,Four Rooms,movie,Camera,First Assistant Camera,148455,2022-09-03 17:01:12,2022-09-03 17:01:12
Barbara Harris,1995,8,Four Rooms,movie,Production,ADR Voice Casting,230436,2022-09-03 17:01:12,2022-09-03 17:01:12
Tiffanie DeBartolo,1995,8,Four Rooms,movie,Crew,Intern,1031288,2022-09-03 17:01:12,2022-09-03 17:01:12
Margaret Goodspeed,1995,8,Four Rooms,movie,Editing,Editor,1041072,2022-09-03 17:01:12,2022-09-03 17:01:12
Toni G,1995,8,Four Rooms,movie,Costume & Make-Up,Assistant Makeup Artist,1069714,2022-09-03 17:01:12,2022-09-03 17:01:12
Fernando Altschul,1995,8,Four Rooms,movie,Directing,First Assistant Director,1120536,2022-09-03 17:01:12,2022-09-03 17:01:12
Ray Maxwell,1995,8,Four Rooms,movie,Art,Construction Foreman,1341806,2022-09-03 17:01:12,2022-09-03 17:01:12
Jayne-Ann Tenggren,1995,8,Four Rooms,movie,Directing,Script Supervisor,1342669,2022-09-03 17:01:12,2022-09-03 17:01:12
Tim Tuchrello,1995,8,Four Rooms,movie,Sound,First Assistant Sound Editor,1357671,2022-09-03 17:01:12,2022-09-03 17:01:12
Brian Markey,1995,8,Four Rooms,movie,Art,Construction Coordinator,1395016,2022-09-03 17:01:12,2022-09-03 17:01:12
Robert Earl Craft,1995,8,Four Rooms,movie,Production,Location Manager,1401374,2022-09-03 17:01:12,2022-09-03 17:01:12
Dawn Todd Curfman,1995,8,Four Rooms,movie,Production,Post Production Coordinator,1402054,2022-09-03 17:01:12,2022-09-03 17:01:12
Zack Davis,1995,8,Four Rooms,movie,Sound,ADR Editor,1404841,2022-09-03 17:01:12,2022-09-03 17:01:12
Becky Sullivan,1995,8,Four Rooms,movie,Sound,Supervising ADR Editor,1404903,2022-09-03 17:01:12,2022-09-03 17:01:12
Pawel Wdowczak,1995,8,Four Rooms,movie,Sound,Production Sound Mixer,1410954,2022-09-03 17:01:12,2022-09-03 17:01:12
Glenn Hoskinson,1995,8,Four Rooms,movie,Sound,Sound Effects Editor,1412227,2022-09-03 17:01:12,2022-09-03 17:01:12
Thom 'Coach' Ehle,1995,8,Four Rooms,movie,Sound,Dolby Consultant,1412242,2022-09-03 17:01:12,2022-09-03 17:01:12
Denise Okimoto,1995,8,Four Rooms,movie,Sound,Music Editor,1415642,2022-09-03 17:01:12,2022-09-03 17:01:12
P. Gerald Knight,1995,8,Four Rooms,movie,Crew,Transportation Coordinator,1419160,2022-09-03 17:01:12,2022-09-03 17:01:12
Bruce Fortune,1995,8,Four Rooms,movie,Sound,Supervising Sound Editor,1438571,2022-09-03 17:01:12,2022-09-03 17:01:12
Kyle Oliver,1995,8,Four Rooms,movie,Production,Location Assistant,1505354,2022-09-03 17:01:12,2022-09-03 17:01:12
