name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Peter Diamond,Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited),1977,12,Star Wars,movie,Acting,44,53587
Warwick Diamond,Jawa (uncredited),1977,12,Star Wars,movie,Acting,45,1271070
Sadie Eden,Garindan (uncredited),1977,12,Star Wars,movie,Acting,46,1271071
Kim Falkinburg,Djas Puhr (uncredited),1977,12,Star Wars,movie,Acting,47,1271072
Harry Fielder,Death Star Trooper (uncredited),1977,12,Star Wars,movie,Acting,48,202402
Ted Gagliano,Stormtrooper with Binoculars (uncredited),1977,12,Star Wars,movie,Acting,49,1271073
Salo Gardner,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,50,1271074
Steve Gawley,Death Star Trooper (uncredited),1977,12,Star Wars,movie,Acting,51,1195602
Barry Gnome,Kabe (uncredited),1977,12,Star Wars,movie,Acting,52,1271075
Rusty Goffe,Kabe / Jawa / GONK Droid (uncredited),1977,12,Star Wars,movie,Acting,53,252527
Isaac Grand,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,54,1271076
Reg Harding,Stormtrooper (uncredited),1977,12,Star Wars,movie,Acting,55,1271078
Alan Harris,Leia's Rebel Escort (uncredited),1977,12,Star Wars,movie,Crew,56,964699
Frank Henson,Stormtrooper (uncredited),1977,12,Star Wars,movie,Acting,57,1271079
Christine Hewett,Brea Tonnika (uncredited),1977,12,Star Wars,movie,Acting,58,1271080
Arthur Howell,Stormtrooper (uncredited),1977,12,Star Wars,movie,Acting,59,1271081
Tommy Ilsley,Ponda Baba (uncredited),1977,12,Star Wars,movie,Acting,60,1271082
Joe Johnston,Death Star Trooper (uncredited),1977,12,Star Wars,movie,Directing,61,4945
Annette Jones,Mosep (uncredited),1977,12,Star Wars,movie,Acting,62,1271083
Linda Jones,Chall Bekan (uncredited),1977,12,Star Wars,movie,Acting,63,1148750
Joe Kaye,Solomohal (uncredited),1977,12,Star Wars,movie,Acting,64,201344
