name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id
Norman Reynolds,1977,12,Star Wars,movie,Art,Art Direction,669
Ben Burtt,1977,12,Star Wars,movie,Sound,Sound Designer,670
Willard Huyck,1977,12,Star Wars,movie,Crew,Script,686
Gloria Katz,1977,12,Star Wars,movie,Crew,Script,687
Robert Watts,1977,12,Star Wars,movie,Production,Production Supervisor,711
Gordon Davidson,1977,12,Star Wars,movie,Sound,Sound Editor,1053
Marcia Lucas,1977,12,Star Wars,movie,Editing,Editor,2551
Dianne Crittenden,1977,12,Star Wars,movie,Production,Casting,1221
Richard Portman,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,3105
David V. Lester,1977,12,Star Wars,movie,Production,Production Manager,4054
Roger Christian,1977,12,Star Wars,movie,Art,Set Decoration,5058
Leslie Dilley,1977,12,Star Wars,movie,Art,Art Direction,5059
John Mollo,1977,12,Star Wars,movie,Costume & Make-Up,Costume Design,5061
Phil Tippett,1977,12,Star Wars,movie,Visual Effects,Animation,7727
Richard Chew,1977,12,Star Wars,movie,Editing,Editor,8425
Anthony Waye,1977,12,Star Wars,movie,Directing,Assistant Director,10706
Stuart Freeborn,1977,12,Star Wars,movie,Costume & Make-Up,Makeup Supervisor,11837
Bruce Green,1977,12,Star Wars,movie,Editing,Assistant Editor,12970
Rick Baker,1977,12,Star Wars,movie,Costume & Make-Up,Makeup Artist,16178
Paul Hirsch,1977,12,Star Wars,movie,Editing,Editor,10766
Bruce Sharman,1977,12,Star Wars,movie,Production,Production Manager,66251
Joseph Lenzi,1977,12,Star Wars,movie,Production,Production Manager,66611
Don MacDougall,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,74778
Gary Rizzo,1977,12,Star Wars,movie,Sound,Sound Mix Technician,138618
John Barry,1977,12,Star Wars,movie,Art,Production Design,568911
Gene Corso,1977,12,Star Wars,movie,Sound,Sound Editor,1070097
Ann Skinner,1977,12,Star Wars,movie,Directing,Continuity,1250477
Les Fresholtz,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,1399140
Michael Minkler,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,1399141
Robert J. Litt,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,1399996
Paul Huston,1977,12,Star Wars,movie,Visual Effects,Visual Effects,1424133
Peter V. Herald,1977,12,Star Wars,movie,Production,Production Manager,1430398
Bob Minkler,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,1446531
Ray West,1977,12,Star Wars,movie,Sound,Sound Re-Recording Mixer,1446533
Derek Ball,1977,12,Star Wars,movie,Sound,Production Sound Mixer,1513636
Ken Nightingall,1977,12,Star Wars,movie,Sound,Boom Operator,1513637
Robert R. Rutledge,1977,12,Star Wars,movie,Sound,Sound Editor,1544697
Jack Dearlove,1977,12,Star Wars,movie,Crew,Stand In,1563188
Dan Perri,1977,12,Star Wars,movie,Art,Title Designer,1648134
Roy Seely,1977,12,Star Wars,movie,Crew,Stand In,1678560
Terry Madden,1977,12,Star Wars,movie,Directing,Assistant Director,1697237
Gerry Gavigan,1977,12,Star Wars,movie,Directing,Assistant Director,1877790
Peter Brace,1977,12,Star Wars,movie,Crew,Stunt Double,1951618
Ron Beck,1977,12,Star Wars,movie,Costume & Make-Up,Wardrobe Supervisor,2021308
Sam F. Shaw,1977,12,Star Wars,movie,Sound,Supervising Sound Editor,2036880
Michael Galloway,1977,12,Star Wars,movie,Sound,Sound Recordist,2048546
Gary White,1977,12,Star Wars,movie,Directing,First Assistant Director,2583875
Wendy Leech,1977,12,Star Wars,movie,Crew,Stunt Double,2789781
London Symphony Orchestra,1977,12,Star Wars,movie,Sound,Musician,2922346
David Stone,1977,12,Star Wars,movie,Crew,Stand In,3535183
Mags Kavanaugh,1977,12,Star Wars,movie,Crew,Stunt Double,3583976
Penny McCarthy,1977,12,Star Wars,movie,Crew,Stand In,3583982
Len Mathewman,1977,12,Star Wars,movie,Crew,Stand In,3583983
Andrew Stanton,2003,13,Finding Nemo,movie,Writing,Screenplay,7
Andrew Stanton,2003,13,Finding Nemo,movie,Directing,Director,7
Andrew Stanton,2003,13,Finding Nemo,movie,Writing,Original Story,7
Lee Unkrich,2003,13,Finding Nemo,movie,Editing,Supervising Film Editor,8
Lee Unkrich,2003,13,Finding Nemo,movie,Directing,Co-Director,8
Graham Walters,2003,13,Finding Nemo,movie,Production,Producer,9
Bob Peterson,2003,13,Finding Nemo,movie,Writing,Screenplay,10
David Reynolds,2003,13,Finding Nemo,movie,Writing,Screenplay,11
John Lasseter,2003,13,Finding Nemo,movie,Production,Executive Producer,7879
David Ian Salter,2003,13,Finding Nemo,movie,Editing,Editor,12914
